StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5
2020-04-25 11:14:36,2020-04-25 11:15:18,IP Address,100,41,True,2020-04-25 11:15:18,R_XNwJYCM2CCXhNMB,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Big Ten,6 Weeks,8+ Weeks,3/Week,3/Week
2020-04-25 12:14:45,2020-04-25 12:15:43,IP Address,100,58,True,2020-04-25 12:15:44,R_3fNobmDeg4VhGkD,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Western Athletic,2 Weeks,6 Weeks,4/Week,6/Week
2020-04-25 12:32:29,2020-04-25 12:35:37,IP Address,100,187,True,2020-04-25 12:35:37,R_3OkWVB4Fq9l9TRp,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Other,8+ Weeks,8+ Weeks,2/Week,2/Week
2020-04-26 09:05:05,2020-04-26 09:06:00,IP Address,100,54,True,2020-04-26 09:06:00,R_bC564KaBpCZz0A1,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,American East,4 Weeks,6 Weeks,5/Week,2/Week
2020-04-27 20:09:43,2020-04-27 20:15:04,IP Address,100,321,True,2020-04-27 20:15:04,R_10Jm0xsvWwbEqqI,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Pac-12,6 Weeks,8+ Weeks,4/Week,5/Week
2020-04-28 18:48:36,2020-04-28 18:49:31,IP Address,100,55,True,2020-04-28 18:49:31,R_2uEfMWEsHzN2IjO,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,,,,,
2020-04-30 20:49:04,2020-04-30 20:51:03,IP Address,100,118,True,2020-04-30 20:51:03,R_1LqBC2QEJoYJqF7,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Pac-12,4 Weeks,6 Weeks,2/Week,3/Week
2020-05-01 09:18:15,2020-05-01 09:19:28,IP Address,100,72,True,2020-05-01 09:19:28,R_Ttqd6Vw6O2bZhlf,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Big Ten,6 Weeks,8+ Weeks,3/Week,5/Week
2020-05-02 09:57:14,2020-05-02 09:59:17,IP Address,100,122,True,2020-05-02 09:59:17,R_79QHtTK54ZcP1e1,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Ohio Valley,4 Weeks,8+ Weeks,2/Week,4/Week
2020-05-02 18:57:36,2020-05-02 18:59:17,IP Address,100,101,True,2020-05-02 18:59:17,R_20MPob46mb9tRs5,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Mid-Eastern Athletic,4 Weeks,6 Weeks,3/Week,5/Week
